Month-Year,Count
2017-01,1
2017-03,13
2017-04,6
2017-05,110
2017-06,4
2017-07,16
2017-08,70
2017-09,62
2017-10,72
2017-11,25
2017-12,21
2018-01,3
2018-02,7
2018-03,69
2018-04,46
2018-05,28
2018-06,34
2018-07,46
2018-08,34
2018-09,10
2018-10,5
2018-11,13
2018-12,3
2019-01,26
2019-02,16
2019-03,21
2019-04,43
2019-05,12
2019-06,20
2019-07,15
2019-08,23
2019-09,4
2019-10,1
2019-11,12
2019-12,42
2020-01,65
2020-02,3
2020-03,31
2020-04,26
2020-06,1
2020-08,6
2020-09,1
2020-11,12
2020-12,15
2021-01,20
2021-02,2
2021-03,12
2021-04,3
2021-06,8
2021-07,3
2021-08,19
2021-09,6
2021-10,4
2022-01,21
2022-03,7
2022-05,1
2022-06,7
2022-08,9
2022-09,7
2022-10,3
2022-11,7
2022-12,2
2023-01,9
2023-03,14
2023-04,1
2023-06,2
2023-09,29
2023-10,10
2023-11,2
2023-12,13
2024-01,1
2024-03,11
2024-05,3
2024-06,7
2024-08,7
2024-09,7
2024-10,72
2024-11,55
2024-12,37
2025-01,5
